year,iso3,country,who_region,latitude,longitude,syndrome,confirmed_cases,deaths,recovered,case_fatality_rate,hospitalized,icu_admissions,human_to_human_cases,mortality_rate_per_100k,total_casos,total_muertes,total_recuperados,promedio_letalidad,años_registrados,decada
1995,ARG,Argentina,AMRO,-34.6,-58.4,HPS,90,34,56,0.3778,80,34,1,37.36,2943,842,2101,0.2886838709677419,31,1990
1996,ARG,Argentina,AMRO,-34.6,-58.4,HPS,75,16,59,0.2133,69,29,4,21.05,2943,842,2101,0.2886838709677419,31,1990
1997,ARG,Argentina,AMRO,-34.6,-58.4,HPS,60,23,37,0.3833,54,16,0,37.7,2943,842,2101,0.2886838709677419,31,1990
1998,ARG,Argentina,AMRO,-34.6,-58.4,HPS,62,16,46,0.2581,53,20,1,25.4,2943,842,2101,0.2886838709677419,31,1990
1999,ARG,Argentina,AMRO,-34.6,-58.4,HPS,81,19,62,0.2346,65,23,2,23.17,2943,842,2101,0.2886838709677419,31,1990
2000,ARG,Argentina,AMRO,-34.6,-58.4,HPS,100,24,76,0.24,85,36,0,23.76,2943,842,2101,0.2886838709677419,31,2000
2001,ARG,Argentina,AMRO,-34.6,-58.4,HPS,104,25,79,0.2404,79,42,8,23.81,2943,842,2101,0.2886838709677419,31,2000
2002,ARG,Argentina,AMRO,-34.6,-58.4,HPS,117,30,87,0.2564,90,40,4,25.42,2943,842,2101,0.2886838709677419,31,2000
2003,ARG,Argentina,AMRO,-34.6,-58.4,HPS,77,23,54,0.2987,58,30,1,29.49,2943,842,2101,0.2886838709677419,31,2000
2004,ARG,Argentina,AMRO,-34.6,-58.4,HPS,91,24,67,0.2637,77,31,1,26.09,2943,842,2101,0.2886838709677419,31,2000
2005,ARG,Argentina,AMRO,-34.6,-58.4,HPS,96,33,63,0.3438,90,46,4,34.02,2943,842,2101,0.2886838709677419,31,2000
2006,ARG,Argentina,AMRO,-34.6,-58.4,HPS,98,22,76,0.2245,77,20,2,22.22,2943,842,2101,0.2886838709677419,31,2000
2007,ARG,Argentina,AMRO,-34.6,-58.4,HPS,87,22,65,0.2529,79,28,1,25.0,2943,842,2101,0.2886838709677419,31,2000
